text,label,source_product,source_sub_product,source_issue,source_sub_issue
"My business account with Mercury was closed while holding funds in the amount of {$75000.00}. Mercury claims these funds were returned to XXXX as part of a fraud wire recall accompanied by a hold harmless letter. 

However, I personally verified with XXXX XXXX and with XXXX Wire Transfer Department that : My XXXX account was already closed at the time of the alleged transfer ; No incoming wire was received ; No fraud recall exists in my profile ; No hold harmless letter exists ; No wire trace, XXXX, or XXXX reference exists in Citibanks system. 

Mercury refuses to provide the wire transfer tracking information ( Fed reference / wire trace ) and has stopped responding to my requests. 

As a result, {$75000.00} is currently unaccounted for, and Mercury has failed to meet its obligation to trace and return my funds or provide legally required transaction records.",account_closure,Checking or savings account,Checking account,Closing an account,Funds not received from closed account
"In XXXX XXXX, I loaded a total of {$70.00} in XXXX gift cards onto my XXXX account ( {$10.00} + {$10.00} + {$50.00} ). Approximately XXXX day after adding the funds, XXXX unexpectedly banned or XXXX my account. The message sent to my email stated that the account violated the XXXX Rewards Terms of Use and XXXX Card Terms & Conditions, but no specific reason was provided. 

Once the account was banned, I could no longer access the {$70.00} in stored gift card value. I still had the XXXX physical cards, but the value of each card is now {$0.00} as the money was transfered over to the account. 

I contacted XXXX customer service XXXX separate times over the following weeks. Each time, I was told that a support ticket had been created and that I would receive an update in a few business days. I have not received any follow-up from XXXX. The most recent ticket number provided to me was issued XXXX days before filing this complaint, and I was told I would get a response back, but I have not. 

At this point, XXXX has closed access to my stored funds, has not explained the reason for the ban, and has not responded to repeated attempts to resolve the issue.",account_closure,Prepaid card,Gift card,Problem getting a card or closing an account,Trouble closing card
"I opened an account with PayPal for legitimate freelance and business purposes. During the account verification process, I uploaded my valid National Identity Card as requested. However, about 30 seconds after submitting my ID, my account was suddenly and permanently limited without any clear explanation. 

I did not receive any specific reason for this action, and I believe this decision may have been made in error. All the information I provided is accurate, and the identification document I submitted is authentic and valid. I rely on this account to receive payments for my freelance work, and this unexpected restriction has negatively impacted my income and ability to conduct business. 

I have attempted to contact the company to understand the reason for the permanent limitation and to request a review of my account, but I have not received a clear or satisfactory response. I am willing to provide any additional documentation or information needed to verify my identity and comply with their policies. 

I am requesting that the company conduct a fair review of my case, clearly explain the reason for the permanent limitation, and restore my account if no violation has occurred. I also request transparency regarding their decision and the opportunity to resolve any issues.",account_closure,"Money transfer, virtual currency, or money service",Mobile or digital wallet,"Managing, opening, or closing your mobile wallet account",
"My SoFi Checking account was closed on XXXX XXXX, XXXX with an approximate balance of {$780.00} SoFi informed me that they would conduct an investigation and that if any issue was identified, I would receive an adverse action notice. If no issue was found, my remaining balance would be mailed to my U.S. address on file.

The stated investigation timeframe has passed. I have not received any adverse notice. I have not received my balance by check. I sent an email on XXXX XXXX, XXXX and a follow-up on XXXX XXXX, XXXX with no response. 
I am requesting immediate release of my remaining funds and a written explanation for the delay.",account_closure,Checking or savings account,Checking account,Closing an account,Funds not received from closed account
"Chime closed my account after I filed a dispute. A day after the dispute a provisional credit was provided to the account they closed now I have no access to my funds and they wont give me a reason or show me a transaction where it violates the terms of service or the user agreement. When I contact them they tell me they can not disclose my information with me and proceed to keep gaming up on me Ive talked with the fraud department ( who are the ones who closed my account ) and they told me they can not disclose anything with me. 
Now I have some funds on the account which I have no access to. 
And Im still getting notifications and emails regarding this so called closed account.",account_closure,Checking or savings account,Checking account,Closing an account,Company closed your account
XXXX I reached out to Colony Ridge concerning some land that was posted for sale. I met with a rep for the company we walked through the property he explained terms of how we could move forward if I was interested. I waited a week and was contacted by the rep we met went to a makeshift trailer and was greeted by another rep who was supposed to close the sale. We sat down filled out some paperwork and gave them access to my checking account for which monthly payments along with the deposit was supposed to be drafted. After about a month I attempted to contact the rep to proceed with getting plumbing obligations completed on the land. I became suspicious when the rep would not meet with me and began to give me the run around. Upon digging further I came across a XXXX group where members said they had been victims of scams dealing with Colony Ridge LLC,account_closure,Mortgage,Other type of mortgage,Closing on a mortgage,Closing disclosure or other related disclosures
"I am submitting this formal complaint against Bank of America for willful and egregious violations of federal and state law, including consumer protection, identity theft, fair credit reporting, and constitutional rights. 

On or about XX/XX/XXXX, XXXX XXXX XXXX XXXX XXXX, during which my Social Security Number, personal identification, phone number, address, and Bank of America account information were stolen. A second kidnapping occurred in XX/XX/XXXX. Using this stolen information, Bank of America opened and maintained fraudulent accounts in my name without my authorization. 

Bank of America then closed my legitimate account illegally, failing to conduct a true investigation or acknowledge my identity theft. Their actions have caused : Denial of multiple personal and business credit opportunities Severe emotional distress and financial damages Increased APR rates and financial penalties due to fraudulent reporting Legal Basis Bank of America has violated multiple statutes, regulations, and constitutional protections, including : FCRA 605B, 609, 611, 611 ( a ) ( 3 ), 623 failure to investigate, failure to remove fraudulent tradelines, illegal reporting TILA & Equal Opportunity Credit Compliance ( EOCC ) misleading and illegal account information affecting credit access Identity Theft Protections ( FTC & SSA ) unauthorized use of personal identifying information Constitutional Violations Due Process, Equal Protection, and other amendments ; deprivation of property, credit, and business opportunities State Laws emotional distress, negligent/fraudulent reporting Bank of America has XXXX XXXX. Willfully reported inaccurate, fraudulent, and unverified account information XXXX. Ignored my identity theft reports and official documentation XXXX. Denied my statutory rights under FCRA, TILA, and EOCC XXXX. Caused measurable financial, business, and emotional harm",account_closure,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account
"Around XXXX of XXXX my chime account was suddenly closed with XXXX in it the company tried to send a XXXX dollar check which was not correct and when I tried to file a complaint About that, they then said they would up that to a {$1000.00} check, which obviously, why would they do that? They know they owe me {$6000.00} and I would like to receive it or have at least explained where the funds went. There was never any XXXX activity on the account, they closed it for no reason.",account_closure,Checking or savings account,Checking account,Closing an account,Funds not received from closed account
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",account_closure,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt
